subject_id,session_id,is_behavior_pass,session_type
690706,690706_2023-11-27,false,brainwide
690706,690706_2023-11-28,true,brainwide
690706,690706_2023-11-29,false,brainwide
690706,690706_2023-11-30,true,brainwide
699847,699847_2024-04-16,false,brainwide
702131,702131_2024-02-26,true,brainwide
702136,702136_2024-03-04,false,brainwide
702136,702136_2024-03-07,false,brainwide
703333,703333_2024-04-08,false,brainwide
703333,703333_2024-04-09,false,brainwide
703333,703333_2024-04-10,false,brainwide
703333,703333_2024-04-11,false,brainwide
703880,703880_2024-04-15,true,brainwide
703880,703880_2024-04-16,false,brainwide
703880,703880_2024-04-17,false,brainwide
703882,703882_2024-04-22,false,brainwide
703882,703882_2024-04-23,false,brainwide
703882,703882_2024-04-25,false,brainwide
708016,708016_2024-04-29,true,brainwide
712138,712138_2024-07-12,,
712141,712141_2024-06-05,,
712141,712141_2024-06-06,,
712141,712141_2024-06-10,,
712141,712141_2024-06-13,,
712815,712815_2024-05-21,true,brainwide
712815,712815_2024-05-22,true,brainwide
713655,713655_2024-08-05,true,brainwide
713655,713655_2024-08-06,true,brainwide
713655,713655_2024-08-07,true,brainwide
713655,713655_2024-08-08,true,brainwide
713655,713655_2024-08-09,true,brainwide
714748,714748_2024-06-24,true,brainwide
714748,714748_2024-06-25,false,brainwide
714748,714748_2024-06-26,true,brainwide
714748,714748_2024-06-27,true,brainwide
714753,714753_2024-07-01,true,brainwide
714753,714753_2024-07-02,true,brainwide
715709,715709_2024-08-07,,
715709,715709_2024-08-09,,
715710,715710_2024-07-15,true,brainwide
715710,715710_2024-07-16,true,brainwide
715710,715710_2024-07-17,true,brainwide
715710,715710_2024-07-18,true,brainwide
715710,715710_2024-07-19,true,brainwide
716718,716718_2024-08-01,,
716718,716718_2024-08-02,,
718283,718283_2024-08-20,,
718283,718283_2024-08-21,,
718283,718283_2024-08-22,,
721536,721536_2024-05-16,,
721536,721536_2024-05-17,,
724612,724612_2024-07-22,,
724612,724612_2024-07-24,,
724612,724612_2024-07-25,,
726088,726088_2024-06-17,false,brainwide
726088,726088_2024-06-18,false,brainwide
726088,726088_2024-06-21,false,brainwide
733780,733780_2024-08-26,false,brainwide
733780,733780_2024-08-27,,
733780,733780_2024-08-29,false,brainwide
733780,733780_2024-08-30,false,brainwide
733780,733780_2024-09-03,false,brainwide
733780,733780_2024-09-04,true,brainwide
733780,733780_2024-09-06,false,brainwide
733887,733887_2024-08-13,,
733887,733887_2024-08-14,,
733887,733887_2024-08-15,,
733891,733891_2024-09-18,true,brainwide
733891,733891_2024-09-20,false,brainwide
736208,736208_2024-09-03,,
736208,736208_2024-09-04,,
736208,736208_2024-09-05,,
736803,736803_2024-08-13,,
737403,737403_2024-09-24,true,brainwide
737403,737403_2024-09-25,false,brainwide
737403,737403_2024-09-26,true,brainwide
737403,737403_2024-09-27,false,brainwide
741137,741137_2024-10-08,true,brainwide
741137,741137_2024-10-09,false,brainwide
